	sample1	sample2	sample3	sample4	sample5	sample6	sample7
K03955	1.81933E-05	2.29678E-05	1.84586E-06	4.45802E-06	6.00915E-06	5.7521E-06	1.68659E-06
K03956	2.48699E-06	4.48845E-06	2.52051E-08	2.21567E-08	7.88101E-09	3.81178E-08	0
K03957	0	1.07417E-08	2.99545E-08	7.629E-09	1.7493E-07	3.27006E-09	0
K03958	3.33235E-08	7.72002E-07	3.9466E-08	1.4774E-07	6.59039E-08	1.77513E-06	1.39248E-07
K03959	2.69658E-07	1.10152E-11	6.18584E-08	4.36741E-07	4.47087E-08	7.86481E-07	5.00821E-10
K03960	0	0	9.80617E-09	5.61142E-09	8.94622E-09	7.73417E-09	1.9012E-09
K03961	1.00016E-06	1.06647E-06	7.50329E-07	1.02991E-07	1.19901E-07	9.04842E-07	6.86157E-08
K03962	4.28576E-07	0	1.1344E-08	7.45132E-08	1.42803E-09	4.19215E-09	0
K03963	1.83065E-05	2.83525E-05	1.06662E-08	3.41064E-07	3.5861E-08	4.33926E-07	1.21306E-07
K03964	1.65935E-05	1.9921E-05	6.5149E-08	1.06618E-07	6.61202E-08	1.34237E-07	2.89354E-07
K03965	2.86426E-05	2.83675E-05	1.85639E-07	2.39642E-06	4.86601E-08	8.20603E-07	1.09252E-06
K03966	1.02664E-07	9.17351E-07	4.67296E-08	5.27103E-07	2.38416E-07	4.32601E-08	1.53946E-08
K03967	0	0	7.67502E-08	1.0256E-08	3.58416E-09	3.2982E-09	0
K03968	6.04496E-07	3.09407E-07	2.17311E-09	2.2225E-08	8.183E-08	1.98495E-08	1.2464E-10
K03969	0.000462571	0.000599312	7.77056E-05	0.000330781	0.000152219	2.18831E-05	4.09979E-06
K03970	3.26234E-05	0.000158343	3.70334E-07	2.31638E-07	5.4007E-07	5.51047E-07	1.45657E-06
K03971	6.59558E-06	1.64224E-07	7.61366E-08	8.75525E-09	6.58744E-07	3.12033E-07	6.88206E-08
K03972	7.2749E-05	2.34361E-05	8.31044E-05	0.000124913	0.000129689	4.42856E-05	3.44043E-06
K03973	7.5374E-05	6.1846E-05	0.000136758	0.000167013	9.04881E-05	0.00024474	0.000120414
K03974	1.03452E-05	9.38298E-07	2.8169E-06	8.87329E-06	9.23974E-06	8.08251E-05	2.34067E-06
K03975	0.00049381	0.000787149	0.000151959	0.000452596	0.000260394	0.000310559	0.00101498
K03976	0.000280364	0.00030703	0.000537716	0.000348519	0.00053096	0.000669703	0.00071629
K03977	0.000800065	0.000741055	0.00086748	0.00091746	0.001012063	0.000956491	0.000952058
K03978	0.000276271	0.000169099	0.000790525	0.000618013	0.000827352	0.000709314	0.000836216
K03979	0.000870744	0.000800333	0.000788749	0.000908987	0.000941434	0.000841721	0.000860359
K03980	0.000536102	0.000655879	0.000283257	0.000450263	0.000396586	3.09996E-05	9.39376E-05
K03981	8.22252E-05	3.42361E-05	0.000158891	0.000182327	0.000203936	9.28631E-06	3.40909E-06
K03982	2.90032E-07	2.41833E-07	1.14876E-07	7.51345E-07	1.37115E-07	1.97741E-06	2.97926E-07
K03983	1.2454E-07	2.58444E-06	2.63683E-08	5.34765E-08	5.25645E-09	1.33702E-06	8.92798E-09
K03984	6.29665E-07	2.78151E-07	6.64666E-08	6.45949E-07	5.15418E-08	3.48579E-07	1.7832E-08
K03985	2.41457E-07	2.29862E-08	6.25619E-08	1.34645E-07	1.76667E-07	1.18489E-07	2.69641E-07
K03986	5.30506E-07	7.32357E-07	2.04169E-06	3.46558E-06	3.26494E-07	6.47171E-07	7.80675E-08
K03987	2.68051E-06	4.10384E-07	2.8769E-06	2.86743E-06	1.57405E-06	9.44429E-07	2.17456E-07
K03988	1.72729E-06	1.08035E-06	5.70791E-07	1.45996E-06	5.9695E-07	2.5293E-07	9.70804E-08
K03989	4.66824E-08	1.2867E-07	1.65579E-08	5.61524E-08	3.9609E-08	1.79412E-08	1.54054E-10
K03990	4.07133E-07	1.33023E-07	6.99011E-08	5.27767E-08	1.58937E-08	1.23281E-08	3.50951E-07
K03991	3.30352E-06	2.37593E-06	3.13182E-06	2.3757E-06	8.60767E-06	7.77916E-07	8.72928E-08
K03992	2.54071E-07	4.97845E-07	5.3893E-08	3.15498E-07	8.27271E-08	1.00819E-07	9.21515E-09
K03993	6.7573E-08	4.23087E-07	1.98781E-08	1.01702E-07	4.54445E-08	2.19736E-08	6.01286E-08
K03994	2.67251E-08	3.71573E-08	1.56486E-08	4.29559E-08	2.64986E-09	3.87611E-08	1.27907E-08
K03995	1.37081E-06	1.4602E-06	5.04384E-07	2.86159E-06	9.30492E-07	1.39589E-06	2.2878E-07
K03996	1.89892E-07	4.62746E-07	5.7E-08	2.22716E-07	4.72554E-08	4.17529E-07	1.08706E-08
K03997	7.87711E-08	2.59534E-07	5.21912E-08	8.47217E-08	7.45576E-08	1.36453E-07	1.87421E-08
K03998	2.84345E-08	1.24361E-07	1.21546E-07	1.70384E-07	4.00225E-08	2.35832E-07	1.69262E-08
K03999	6.14814E-07	1.29557E-07	1.60813E-07	8.72521E-07	3.53436E-07	1.19026E-07	0
K04000	2.16476E-07	6.86641E-07	3.28763E-08	1.23414E-07	2.0411E-08	5.17686E-08	4.66191E-11
K04001	4.40479E-07	2.24859E-07	9.88513E-07	2.62095E-06	1.27377E-06	1.09479E-06	1.45085E-06
K04002	1.20313E-07	1.96018E-07	1.47828E-08	3.34293E-08	1.81235E-08	1.44425E-07	4.48018E-08
K04003	3.45422E-07	6.71882E-07	1.65303E-07	4.20518E-07	1.42002E-08	3.66712E-08	0
K04004	1.31982E-07	1.94948E-07	3.72291E-08	1.31197E-07	1.48314E-08	8.53992E-08	1.66226E-08
K04005	0	2.51357E-09	0	8.32184E-10	0	3.0512E-09	0
K04006	4.42692E-07	1.52566E-07	7.42182E-08	7.01032E-08	3.22866E-08	1.51769E-07	0
K04007	6.87784E-07	2.22686E-07	6.74727E-08	8.08908E-07	9.19866E-08	4.96576E-08	0
K04008	0	1.88752E-09	0	1.71337E-08	6.12477E-09	4.96394E-08	0
K04009	1.22651E-07	0	3.67078E-08	5.16066E-08	6.73133E-09	1.98131E-08	2.90784E-07
K04010	6.717E-08	1.76366E-08	6.38901E-09	6.35498E-09	2.07257E-09	6.5472E-08	7.06013E-10
K04011	3.65343E-08	4.03158E-08	6.83499E-09	1.76387E-08	3.97993E-09	4.89054E-09	7.4949E-09
K04012	4.3791E-08	2.43532E-07	3.38603E-08	1.34489E-07	6.16629E-08	8.67639E-08	0
K04013	8.08012E-06	1.52811E-06	0.000150524	8.54503E-05	0.000114027	1.91069E-06	6.34453E-07
K04014	1.29674E-05	9.09119E-06	0.000193398	0.000134873	0.000183699	2.44673E-05	6.74908E-07
K04015	1.83722E-05	8.76925E-06	0.000168139	0.000120447	0.000165011	1.43252E-05	2.43631E-07
K04016	4.85477E-06	1.04793E-06	0.000115437	6.70387E-05	8.4962E-05	1.17003E-06	1.71042E-07
K04017	3.12559E-06	3.85208E-07	3.92178E-05	2.01265E-05	2.57675E-05	6.729E-07	2.06836E-07
