	sample1	sample2	sample3	sample4	sample5	sample6	sample7
K00001	0.000635545	0.000468325	0.000821721	0.000369679	0.000465103	0.000474156	0.0006812
K00002	0.000266138	0.000380637	2.44572E-05	0.000100646	6.394E-05	5.16213E-05	6.29699E-05
K00003	0.000742627	0.000721673	0.000585338	0.000553319	0.000591824	0.000254529	0.000466402
K00004	6.65013E-05	2.39636E-05	7.06434E-05	0.000170248	0.000134	8.60756E-06	8.48131E-07
K00005	0.000116769	7.49278E-05	0.000143478	0.000119546	0.000307857	7.89349E-05	4.49677E-06
K00006	2.75941E-05	3.40118E-05	1.46271E-06	5.07413E-06	5.21807E-06	1.26415E-06	1.83778E-06
K00007	3.26524E-06	5.77206E-08	2.30499E-06	1.74434E-05	2.24577E-07	3.58551E-07	4.92036E-07
K00008	0.000272395	0.000504212	2.55285E-05	4.5785E-05	3.47824E-05	0.000118293	8.13813E-06
K00009	8.26014E-05	7.89321E-06	2.69586E-05	4.46663E-05	3.34359E-05	2.41126E-05	0.00044909
K00010	0.000252833	0.000561682	3.98382E-05	0.000169793	9.37827E-05	8.35984E-05	1.95027E-05
K00011	3.02035E-05	3.17457E-05	5.79917E-06	1.5072E-05	1.21939E-05	2.53768E-05	9.30516E-05
K00012	0.000662585	0.000738298	0.00015224	0.000533143	0.000334489	0.001360157	4.0993E-05
K00013	0.000625756	0.000671723	0.000111025	0.000378829	0.000205621	0.000609782	1.91001E-05
K00014	0.000609799	0.000659445	0.000987687	0.000949033	0.000972277	0.000753468	0.000349418
K00015	0.000108219	0.000153046	1.03954E-05	2.28465E-05	2.55969E-05	3.37564E-05	7.03992E-05
K00016	0.000998564	0.001662052	0.000559533	0.000550779	0.000547996	0.000198071	0.002215643
K00018	4.95664E-05	3.13734E-05	0.0001748	0.00024207	0.000265973	0.000383654	2.2858E-05
K00019	3.61318E-05	3.86413E-05	8.36423E-06	2.71634E-05	1.18456E-05	4.10613E-05	8.3712E-06
K00020	4.40795E-05	1.08895E-05	8.25288E-05	0.000105547	5.10824E-05	2.90942E-05	7.41474E-05
K00021	2.50746E-05	6.42892E-05	5.43834E-07	9.09463E-06	2.53805E-07	8.96218E-07	1.05202E-06
K00022	2.59935E-05	3.10006E-05	9.7695E-07	4.36169E-06	1.73303E-06	2.78132E-06	7.92131E-07
K00023	5.48584E-05	9.33523E-05	1.25254E-05	4.67699E-05	1.9642E-05	5.42359E-05	5.59883E-06
K00024	0.000707729	0.000808617	0.000277863	0.000644215	0.000415989	0.001088099	7.26736E-05
K00025	2.88844E-05	2.55061E-05	3.38185E-06	1.94191E-05	9.51093E-06	1.79997E-06	2.68883E-07
K00026	4.91588E-05	5.28808E-05	3.03271E-06	2.41826E-06	2.60686E-06	4.35257E-06	2.57927E-06
K00027	0.000714366	0.001194756	0.000316202	0.000459756	0.000760073	0.000248584	0.000279947
K00028	9.24283E-06	2.08332E-06	2.81556E-06	7.70113E-06	8.66559E-06	4.97238E-06	5.28159E-07
K00029	0.000188043	0.000165001	0.000168092	0.000322767	0.000253389	0.000546118	3.2156E-05
K00030	9.21634E-05	8.88237E-05	8.58647E-06	3.02241E-05	3.54135E-05	5.58501E-05	4.46393E-06
K00031	0.000815243	0.000750337	8.23416E-05	0.000436815	0.00015904	0.000594642	2.19487E-05
K00032	5.9019E-06	8.40901E-06	9.57013E-08	4.74402E-07	1.07707E-07	1.64937E-06	7.13055E-07
K00033	0.000597419	0.000670882	0.000872387	0.00065743	0.000544571	0.000380653	0.001415954
K00034	9.1641E-05	8.75856E-05	6.11167E-06	1.75966E-05	1.06732E-05	2.37979E-05	5.12795E-06
K00035	5.77913E-07	2.07271E-07	2.33475E-06	9.95249E-07	4.9222E-07	3.97782E-07	5.84605E-07
K00036	0.000627023	0.000681847	0.00069936	0.000618197	0.000495331	0.00036703	0.001063676
K00037	7.28708E-07	4.21361E-07	1.43223E-07	2.34364E-07	4.53763E-08	1.16399E-06	1.99721E-07
K00038	6.83491E-06	4.27094E-06	9.02403E-07	3.04837E-06	1.97351E-06	4.56703E-06	2.4859E-06
K00039	6.30171E-06	6.03979E-06	8.02659E-07	3.68554E-06	1.30654E-06	3.14221E-06	9.14413E-07
K00040	9.99829E-05	0.000211755	7.67408E-06	4.79819E-05	1.23764E-05	0.0001133	3.04495E-06
K00041	9.08566E-06	1.11131E-06	4.18938E-06	5.41534E-06	8.48896E-06	0.000442319	2.51887E-06
K00042	2.79179E-05	3.2028E-06	1.45618E-05	2.55428E-05	9.61188E-06	3.44728E-05	7.01455E-06
K00043	1.90843E-05	8.47023E-07	1.1081E-06	6.46247E-06	2.59624E-06	1.27556E-05	1.5386E-05
K00044	6.05717E-06	3.15645E-06	1.82E-06	5.45755E-06	1.56587E-06	6.17802E-06	1.21645E-06
K00045	2.64974E-05	1.80994E-06	8.221E-06	6.22018E-05	3.50962E-07	2.95031E-05	2.0013E-06
K00046	4.60628E-05	2.3913E-05	1.93171E-05	5.27764E-05	2.70034E-05	0.000669649	1.34621E-05
K00048	5.88079E-05	4.53577E-06	0.000125297	0.000180059	0.000195602	0.000566047	3.47017E-05
K00049	3.11716E-06	2.10733E-06	1.02315E-06	2.2549E-06	3.95115E-06	3.82111E-07	7.54667E-08
K00050	1.12372E-05	8.99516E-06	3.6938E-06	2.05131E-05	2.46416E-06	4.99907E-05	5.50281E-06
K00051	8.8392E-08	2.13145E-08	1.05473E-07	1.68005E-07	5.04915E-07	4.02999E-07	1.52782E-07
K00052	0.000645127	0.000454363	0.000676118	0.0007118	0.00071056	0.00075386	2.25215E-05
K00053	0.00087879	0.000832547	0.00088242	0.000899731	0.00088404	0.000783593	4.53008E-05
K00054	0.000147422	6.81801E-05	0.000491942	0.000209847	0.00019054	1.7704E-06	0.000732909
K00055	1.0586E-05	8.77093E-06	1.77061E-06	6.48127E-06	3.70279E-06	4.55969E-06	1.73736E-06
K00057	0.000678201	0.000677762	0.000896638	0.000823365	0.000920935	0.000736959	0.001072597
K00058	0.001047381	0.001221524	0.000355338	0.00078215	0.000591892	0.000859144	0.000197493
K00059	0.001444971	0.001550727	0.001373874	0.001625561	0.001321875	0.001835871	0.001136135
K00060	0.000261602	0.000554047	1.17242E-05	3.47223E-05	3.34714E-05	0.000107891	4.51037E-06
K00061	3.37084E-07	3.52734E-07	2.36479E-07	1.77768E-06	1.10207E-07	2.20847E-07	7.58793E-07
K00062	3.35981E-07	1.10881E-07	2.16589E-08	3.78378E-08	6.5547E-09	5.26598E-08	1.58733E-07
K00063	1.40478E-06	4.57888E-07	1.77733E-07	2.20515E-07	6.27868E-07	1.1513E-06	5.97217E-06
K00064	7.06212E-06	2.9912E-06	1.4024E-06	2.97793E-06	1.62087E-06	5.36689E-05	3.04961E-06
K00065	3.81794E-05	1.79287E-05	5.3009E-06	1.74618E-05	1.1E-05	6.15112E-05	6.73328E-06
K00066	2.19872E-06	2.98322E-06	1.01436E-06	4.08314E-06	1.75544E-06	1.77037E-05	9.75037E-07
K00067	0.000357639	7.52527E-05	0.00046955	0.000788824	0.000677362	0.001105087	0.000210517
K00068	3.58503E-05	1.2387E-05	0.000100428	0.000114813	0.000127647	1.43628E-05	1.95355E-06
K00069	4.81722E-06	3.58867E-06	5.34572E-07	8.4928E-07	5.71093E-07	2.81061E-06	3.08242E-07
K00070	8.31087E-08	7.8307E-07	2.17916E-07	1.444E-07	7.60712E-07	1.41032E-06	3.79167E-10
K00071	1.37811E-06	9.1138E-07	4.53014E-07	2.26395E-06	3.59131E-07	1.70607E-06	4.82784E-09
K00072	1.02519E-07	1.49132E-06	1.80535E-08	3.53608E-08	1.70813E-07	2.44991E-07	0
K00073	2.15811E-06	3.85102E-07	1.22902E-06	2.64421E-06	7.22538E-06	2.27652E-06	1.98409E-06
K00074	0.000158623	0.000212153	5.73349E-05	0.000101287	0.000128913	0.000180226	0.000185851
K00075	0.000681254	0.000711155	0.000806144	0.000784872	0.000898813	0.000647133	0.000950658
K00076	7.0582E-06	8.49039E-06	4.20105E-06	1.95105E-05	2.21791E-05	2.54453E-05	1.78085E-06
K00077	0.00050241	0.000710112	5.58148E-05	7.84174E-05	7.56372E-05	0.000460747	0.000104898
K00078	1.70737E-06	4.79405E-07	9.40279E-07	2.72665E-06	3.95331E-06	1.60754E-05	5.66461E-06
K00079	4.27715E-06	2.7157E-06	6.32509E-07	6.11985E-06	4.44145E-07	2.8261E-06	1.64821E-06
K00081	6.6592E-08	7.39525E-07	1.52949E-07	1.96307E-07	9.56828E-07	1.6579E-07	7.47616E-08
K00082	2.15353E-05	5.83567E-06	3.52332E-06	7.54967E-06	5.33139E-06	5.51595E-05	1.16959E-05
K00083	2.04004E-06	2.61849E-06	7.57897E-07	3.14762E-06	7.32351E-07	5.04349E-07	2.27494E-06
K00084	5.79012E-09	5.64015E-07	1.33831E-08	1.33121E-07	1.74622E-08	2.18005E-08	7.6917E-09
K00085	1.5972E-06	4.90844E-07	2.78826E-07	2.58133E-06	4.84226E-07	2.02153E-06	1.53025E-06
K00086	3.28014E-06	9.07535E-07	1.41714E-05	1.54292E-05	4.07468E-05	2.53636E-05	2.55743E-06
K00087	4.43977E-06	2.93062E-06	1.15907E-05	2.32193E-05	5.15637E-05	3.69868E-05	1.76138E-06
K00088	0.001767351	0.002021218	0.001102954	0.001373714	0.001166462	0.000966256	0.001144863
K00089	1.0151E-06	1.64833E-06	2.8271E-08	5.75751E-08	8.89038E-08	9.86607E-07	4.11934E-07
K00090	5.74135E-05	4.57629E-05	8.35026E-06	1.58871E-05	3.27377E-05	1.9701E-05	3.01218E-05
K00091	8.11181E-06	3.95773E-06	2.20333E-05	9.22888E-05	8.15079E-06	1.49762E-05	1.62959E-06
K00092	5.83468E-08	2.26197E-07	2.43112E-09	2.07754E-08	1.35346E-08	6.64953E-08	1.0779E-07
K00094	1.29681E-06	3.77579E-07	7.87719E-07	5.50245E-07	1.2543E-06	7.24991E-06	7.80576E-07
K00095	1.91394E-08	4.78349E-09	0	6.07545E-10	3.13445E-11	1.61811E-08	5.98981E-10
K00096	9.50166E-05	0.00025837	4.82968E-06	2.13484E-05	6.73805E-06	6.47133E-05	1.75631E-06
K00097	0.0001507	0.000367352	6.96106E-05	0.000226188	0.000161023	0.000540505	1.59077E-05
K00098	8.02882E-06	1.30735E-05	4.245E-06	1.6293E-05	6.15845E-06	7.7987E-06	1.01519E-06
K00099	0.000585796	0.00061083	0.000313825	0.000541726	0.000657527	0.000731237	5.01923E-05
K00100	0.000734244	0.000800623	0.00077136	0.000800456	0.000717389	0.001566849	0.001237362
K00101	0.00014612	0.000142302	0.000183542	0.000585195	0.000103975	5.40174E-06	5.45746E-05
K00102	0.000162425	0.000195936	3.2211E-05	0.00011313	8.12087E-05	3.43669E-05	0.000105965
K00103	0.000159672	2.15263E-05	2.91636E-06	5.6514E-05	5.06585E-07	5.48168E-08	9.17654E-08
K00104	0.000122833	0.000139136	9.07527E-05	0.000240873	0.000171578	7.4232E-05	0.000282788
K00105	5.86077E-05	6.04648E-06	0.000587608	0.000110861	4.27324E-05	2.97051E-07	0.000151652
K00106	3.72088E-07	2.85398E-07	1.78558E-07	5.15508E-07	6.43224E-07	5.69995E-07	4.98596E-08
K00107	5.54255E-07	7.81428E-07	2.46963E-08	6.27041E-08	4.28674E-09	6.00689E-08	1.17399E-06
K00108	0.000425119	0.00016421	6.70658E-06	5.34455E-05	1.92366E-06	3.78613E-06	4.80759E-06
K00109	2.17791E-06	3.86662E-06	3.45029E-07	1.22369E-06	3.25266E-07	2.30774E-06	6.25505E-07
K00111	0.000659591	0.000772495	0.000251502	0.000396761	0.000320249	0.000211385	3.78898E-05
K00112	0.0002092	0.000492083	0.000169136	8.12625E-05	0.000154314	2.60557E-05	1.07214E-05
K00113	0.000255658	0.000592892	0.000196259	0.000116827	0.000213809	5.24043E-05	1.45046E-05
K00114	2.46642E-06	6.02544E-07	4.17025E-07	1.48555E-07	2.56863E-08	1.52378E-06	3.99945E-07
K00115	3.88495E-07	9.03816E-07	2.60048E-08	1.86458E-07	7.50623E-09	1.65443E-08	8.65116E-10
K00116	0.000565535	0.000289376	7.66286E-05	0.000248474	0.000150497	1.81232E-06	6.48368E-06
K00117	1.0818E-05	2.21773E-06	8.39017E-07	2.98573E-06	4.33057E-07	2.18935E-06	1.15818E-06
K00118	9.02055E-06	1.39792E-05	3.4355E-06	6.57848E-06	2.47562E-06	2.10497E-05	1.20863E-06
K00119	2.1081E-05	1.54689E-05	1.21188E-06	5.13967E-06	2.26647E-07	1.03267E-06	0.000117534
K00120	1.22451E-05	1.21175E-05	3.05284E-06	7.89972E-06	1.24673E-05	3.27693E-05	1.32902E-05
K00121	0.000200575	9.03753E-05	9.99763E-05	0.000124807	0.000140103	3.49731E-05	1.61165E-05
K00122	2.40834E-05	8.21898E-06	4.16098E-05	3.02338E-05	9.36346E-05	9.98135E-06	5.42976E-06
K00123	0.000506632	8.3408E-05	0.000358184	0.000337175	0.000419627	6.85658E-05	1.2092E-05
K00124	0.00023273	4.78371E-05	0.000155817	0.000158264	0.000167899	3.47648E-05	5.19902E-06
K00125	5.55517E-06	2.25828E-06	4.45691E-07	1.98925E-06	1.88078E-06	5.26022E-06	1.83959E-08
K00126	0	3.45556E-08	3.00223E-08	3.19859E-08	4.98276E-09	3.62334E-08	5.68313E-08
K00127	1.31407E-05	6.17325E-06	6.13218E-05	8.56568E-05	6.92658E-05	8.06588E-06	5.02413E-06
K00128	0.000725532	0.000327235	7.69335E-05	0.000226262	0.000220813	7.8173E-05	3.20804E-05
K00129	1.21121E-05	1.95813E-05	1.61652E-06	6.18008E-06	5.37295E-06	7.07014E-06	1.62663E-06
K00130	0.000368213	0.000132447	3.02351E-05	0.000155655	3.06051E-05	1.32236E-05	6.58097E-06
K00131	2.22997E-05	1.04546E-05	0.000207221	0.000201637	8.25E-05	2.79408E-06	1.25411E-05
K00132	2.00447E-06	1.4931E-06	1.10454E-05	3.55066E-05	1.763E-05	3.74022E-06	7.5033E-06
K00133	0.000945035	0.000822643	0.000953464	0.000987063	0.001074466	0.00088792	0.000543912
K00134	0.001284015	0.000911249	0.001152278	0.001471156	0.001353162	0.001099765	0.001133203
K00135	0.000933836	0.000814392	0.000107359	0.000456808	0.000161366	1.61307E-05	0.000763668
K00136	2.74886E-08	4.32126E-08	1.51376E-08	3.58738E-08	9.33597E-08	3.10067E-10	8.3877E-10
K00137	8.51353E-06	4.02719E-06	2.59041E-06	1.27116E-05	3.66777E-06	1.15309E-06	3.05429E-07
K00138	1.65772E-05	1.89688E-06	3.1747E-06	1.05187E-05	9.58311E-06	1.03044E-06	3.61173E-07
K00139	2.78984E-06	3.78225E-06	5.80774E-07	2.87215E-06	1.11236E-06	3.66369E-07	1.54757E-07
K00140	0.000242467	0.000505575	4.09459E-05	0.000173224	9.02238E-05	1.05854E-05	8.49608E-06
K00141	2.73457E-06	7.93229E-07	4.53548E-07	2.39316E-06	4.67311E-07	1.92978E-07	1.79137E-06
K00142	9.49715E-11	2.57477E-08	2.38527E-08	6.21739E-08	7.43306E-09	9.68488E-09	2.09644E-08
K00143	1.61201E-05	2.10561E-05	2.38707E-07	1.55197E-06	1.78692E-07	6.53834E-07	7.25912E-07
K00145	0.000662083	0.000682076	0.000109837	0.000371199	0.000286348	0.000750977	2.04759E-05
K00146	5.90703E-05	6.96924E-06	1.12537E-06	7.43926E-06	2.18791E-06	7.3724E-07	1.34146E-06
K00147	0.000621056	0.000664175	0.000622339	0.00050253	0.000497064	0.000679458	8.87536E-05
K00148	2.73015E-06	1.63681E-06	1.40081E-06	6.66384E-06	1.13132E-06	7.94191E-07	2.25733E-06
K00149	6.04746E-07	5.22179E-07	6.17699E-08	3.69159E-07	3.3204E-08	9.86664E-08	6.49372E-09
K00150	1.24056E-05	1.3061E-05	2.29568E-06	9.40207E-06	6.48636E-06	2.70669E-06	4.97472E-07
K00151	4.00891E-05	1.38442E-05	4.7026E-06	1.47996E-05	1.26187E-05	2.49867E-06	1.62236E-06
K00152	6.67677E-07	1.68433E-07	6.52397E-08	2.76133E-07	1.01875E-07	4.55435E-08	3.42699E-07
K00153	0.000208622	4.00624E-05	2.7289E-05	7.3352E-05	2.92286E-05	1.19546E-05	9.3609E-07
K00154	1.60559E-05	1.57402E-05	1.63073E-06	1.98822E-06	2.03471E-06	5.85091E-06	2.81705E-06
K00155	2.54216E-05	1.01023E-05	5.87E-06	2.34741E-05	1.02105E-05	3.7029E-06	5.05724E-06
K00156	0.000579498	0.000601631	5.95391E-05	0.000229049	0.000233385	0.000166649	7.74586E-06
K00157	9.30957E-08	1.73655E-08	6.99248E-07	1.89814E-07	1.41596E-07	1.23668E-07	2.25511E-08
K00158	9.90645E-05	6.48398E-05	0.000422823	0.000112213	0.00013201	3.00108E-06	0.001066935
K00161	0.000444234	0.000644326	0.000481439	0.000364945	0.000291361	2.85484E-05	1.83744E-05
K00162	0.000450624	0.000689307	0.000513507	0.000435732	0.000324285	5.64342E-05	3.3366E-05
K00163	0.000505778	0.00051811	0.000245118	0.000539906	0.000319651	2.98858E-06	5.36437E-06
K00164	0.00066064	0.000711155	0.000245853	0.000553514	0.000317231	1.23783E-05	6.57403E-06
K00166	7.72851E-05	6.83722E-05	2.03575E-06	4.48585E-06	1.13274E-06	8.08998E-06	2.36864E-06
K00167	9.35775E-05	8.05135E-05	6.38261E-06	2.04038E-05	8.56056E-06	1.11558E-05	5.20226E-06
K00169	0.000108519	2.86143E-05	1.23787E-06	1.61337E-06	5.4474E-06	4.92484E-05	1.1089E-06
K00170	0.000110972	3.18102E-05	2.96422E-06	3.43659E-06	6.55755E-06	5.0452E-05	9.05742E-07
K00171	9.89986E-05	0.000141131	4.26315E-06	8.86775E-06	1.57474E-05	0.000157733	2.18194E-06
K00172	6.66358E-05	2.2876E-05	1.79536E-06	2.13241E-06	5.68035E-06	4.96568E-05	6.4716E-07
K00174	0.000318483	0.000576737	0.000122056	0.000198865	0.000387088	0.001105237	5.08785E-05
K00175	0.000308325	0.000578304	0.000137554	0.000199157	0.000392468	0.001136488	5.06277E-05
K00176	5.39398E-05	3.33426E-05	3.20837E-05	7.62992E-05	0.000131653	0.000771162	2.43438E-05
K00177	2.08338E-05	1.96639E-05	3.29336E-05	7.01508E-05	0.000129119	0.000585109	1.99725E-05
K00178	7.43994E-08	9.53764E-08	2.45193E-09	1.09776E-09	4.16331E-10	1.5111E-07	4.76914E-11
K00179	9.62888E-06	2.37978E-06	4.75751E-06	6.09686E-06	1.50105E-05	0.000533438	4.49388E-06
K00180	5.84709E-06	1.84624E-06	3.72033E-06	3.20789E-06	1.12971E-05	0.000530062	2.82554E-06
K00181	2.64087E-08	4.34231E-07	1.2723E-07	1.21602E-07	7.00184E-08	2.3046E-07	3.85146E-08
K00182	3.15092E-08	4.09888E-07	2.17758E-08	1.10091E-07	1.34838E-07	7.70143E-08	2.8963E-09
K00183	4.67644E-07	5.80917E-07	5.42982E-07	1.12933E-06	1.81509E-06	6.86644E-06	7.78839E-07
K00184	5.67577E-06	3.30246E-06	1.44783E-05	8.03078E-05	1.14046E-05	2.07518E-05	1.56281E-06
K00185	4.28017E-06	8.66766E-07	1.60591E-05	0.000106451	8.41609E-06	6.41057E-06	9.80268E-07
K00186	1.90256E-06	1.24673E-06	1.55164E-06	3.06462E-06	6.35262E-06	2.13789E-05	1.07505E-06
K00187	1.51863E-06	6.5047E-07	5.60865E-07	1.02748E-06	1.81001E-06	1.00572E-05	5.96596E-07
K00188	1.26373E-06	2.87804E-07	2.40164E-07	3.02849E-07	1.29425E-06	7.77522E-06	1.12938E-07
K00189	5.22508E-07	4.42223E-07	8.56214E-09	3.53089E-09	3.46214E-08	9.15478E-07	4.78534E-09
K00190	3.89887E-09	2.35668E-10	1.2597E-08	1.23088E-08	3.75916E-08	1.28282E-07	1.83969E-09
K00191	2.7266E-08	9.80371E-08	5.45107E-08	5.06796E-08	5.86564E-09	1.35661E-05	3.47226E-07
K00192	4.97026E-08	1.23053E-07	6.33106E-08	1.43222E-07	1.86681E-07	7.64046E-07	4.84122E-09
K00193	8.52882E-08	5.39608E-08	2.26356E-08	1.69797E-08	2.00584E-07	1.38405E-06	3.09586E-08
K00194	7.92138E-07	8.43105E-08	1.78795E-07	2.97228E-07	2.73682E-07	6.7244E-06	1.0079E-07
K00195	3.54621E-09	0	1.98003E-08	3.05046E-08	4.90604E-08	8.23183E-09	0
K00196	1.52099E-06	3.96117E-06	5.02643E-07	1.62625E-06	1.82736E-06	2.2344E-05	5.03462E-07
K00197	0	5.11859E-08	4.87921E-08	1.71066E-08	1.90408E-08	8.52871E-06	3.76158E-08
K00198	8.75788E-06	1.56981E-06	3.62375E-05	5.89967E-05	0.000174014	1.81494E-05	1.17726E-06
K00200	3.72371E-07	4.67556E-08	6.17506E-08	2.16522E-07	6.65143E-08	5.74666E-07	3.46177E-09
K00201	9.89059E-08	6.43575E-08	6.51953E-08	1.22474E-07	3.09156E-07	3.24136E-07	7.65173E-09
K00202	3.43809E-09	3.07211E-07	7.80806E-08	2.4036E-07	2.15318E-07	7.53805E-07	4.31633E-08
K00203	0	5.17178E-09	1.5237E-09	4.32159E-09	1.15745E-08	2.56322E-07	0
K00204	5.54284E-08	4.20671E-08	1.3551E-07	9.27871E-08	3.37584E-07	2.75163E-05	2.9416E-07
K00205	2.02906E-06	1.84056E-06	1.06473E-06	2.40305E-06	5.8904E-06	2.96969E-05	1.11448E-06
K00206	1.97315E-07	4.49079E-08	8.18269E-09	2.36365E-08	3.14861E-09	3.40085E-08	1.62449E-07
K00207	2.32031E-06	3.92115E-06	5.09918E-07	7.29198E-07	1.18396E-06	4.93293E-06	1.18218E-06
K00208	0.000430239	0.000678515	0.00024826	0.000408751	0.000393376	0.000641829	0.000359618
K00209	3.54828E-07	6.36546E-07	2.70697E-08	6.25649E-07	8.01823E-09	3.55974E-08	1.60529E-07
K00210	0.000173102	0.000360077	2.42244E-05	6.71065E-05	7.57783E-05	0.000519572	1.05084E-05
K00211	1.50267E-05	1.61999E-05	2.44619E-08	6.64353E-08	4.02176E-09	1.15334E-06	3.30748E-07
K00212	1.0151E-06	1.64833E-06	2.8271E-08	5.75751E-08	8.89038E-08	9.86607E-07	4.11934E-07
K00213	4.84038E-07	4.19759E-07	4.00026E-08	8.10728E-08	8.56704E-08	1.51271E-07	1.03626E-08
K00214	5.14767E-07	1.99924E-07	1.05977E-06	2.01667E-06	1.46905E-06	1.55966E-06	1.61943E-05
K00215	0.001027906	0.001304809	0.000766265	0.000790141	0.00080565	0.000833117	0.00035222
K00216	2.14621E-05	1.67763E-05	3.88749E-05	0.000115868	4.856E-05	6.49109E-06	9.64273E-07
K00217	4.02818E-07	1.82396E-07	5.52701E-08	1.61067E-07	3.08694E-08	3.06432E-07	4.80608E-07
K00218	5.17546E-06	8.06494E-06	2.40066E-06	6.60502E-06	4.15575E-07	3.69325E-06	1.02851E-06
K00219	0.000155012	0.000132233	5.49175E-06	2.25918E-05	9.14699E-06	4.37108E-05	5.67175E-06
K00220	8.18913E-06	1.87507E-06	7.29021E-07	2.20771E-06	2.29411E-06	2.91037E-06	1.0442E-07
K00221	2.20544E-06	1.35361E-06	3.13236E-08	3.3691E-08	2.06881E-09	9.4256E-10	1.20933E-07
K00222	2.75939E-05	3.29294E-05	1.89602E-07	9.1545E-07	3.946E-08	4.77463E-07	9.05755E-07
K00223	2.12362E-05	2.25845E-05	3.80888E-08	7.20716E-08	1.60007E-08	5.3661E-08	7.44452E-07
K00224	5.96578E-06	6.97593E-06	4.87883E-06	2.2933E-05	2.90316E-05	1.0323E-05	2.88713E-06
K00225	3.14463E-07	7.33183E-08	2.10755E-07	1.10203E-06	2.13856E-07	1.36905E-07	4.037E-08
K00226	0.001017892	0.001332789	0.001228508	0.000992466	0.001097749	0.001213856	0.000811218
K00227	7.12469E-06	8.05261E-06	5.10384E-08	6.35423E-08	2.515E-08	4.37319E-07	1.86535E-07
K00228	9.7518E-05	3.77864E-05	2.52342E-05	8.06963E-05	6.20187E-05	2.82952E-06	3.81523E-06
K00230	1.71326E-05	5.29289E-06	0.000152784	0.000125369	0.000141648	1.49017E-05	4.12943E-07
K00231	0.000603053	0.001039085	8.60977E-05	0.000217729	0.000238492	2.57328E-05	1.42891E-05
K00232	6.0604E-05	4.03562E-05	1.57352E-06	1.52772E-06	7.42325E-07	6.96642E-07	1.74407E-06
K00234	2.69731E-05	3.64834E-05	2.17352E-06	4.3877E-06	6.61422E-06	2.01397E-06	4.02177E-06
K00235	2.55381E-05	2.97165E-05	3.57073E-06	1.21825E-05	2.70863E-06	5.66864E-06	2.35394E-06
K00236	1.30554E-05	1.06999E-05	2.44635E-07	3.8989E-07	5.27019E-07	9.11112E-07	6.58448E-07
K00237	1.59858E-05	2.66792E-05	8.71803E-08	1.99672E-07	2.15226E-07	1.44248E-07	1.23813E-06
K00239	0.001037199	0.001239858	0.000221134	0.000801306	0.000582211	0.000687112	0.000109495
K00240	0.001027255	0.001212263	0.000233115	0.000803849	0.000623032	0.000689653	0.000100883
K00241	0.001050885	0.001279129	0.000172375	0.000603178	0.000389128	0.000661757	2.96855E-05
K00242	0.000120417	4.073E-05	7.84552E-05	0.000177728	0.000154575	1.09523E-06	4.42148E-06
K00243	0.000151779	0.00010263	0.000506025	0.0002277	0.000471688	0.000631991	0.000787089
K00244	0.00018524	0.000115544	0.000289853	0.000264883	0.000326457	0.000113115	0.00189811
K00245	1.8329E-05	9.45524E-06	0.000186685	0.000157109	0.000181752	1.7783E-05	1.5375E-06
K00246	1.45243E-05	5.38163E-06	0.00018247	0.000130383	0.000183925	5.1715E-06	8.60884E-07
K00247	1.44202E-05	1.58726E-06	0.000152834	0.000104639	0.000118231	1.24803E-06	1.82478E-06
K00248	8.57158E-05	0.000176338	4.09669E-05	0.000129618	0.00013206	0.00020738	2.12068E-05
K00249	0.000127416	0.000179994	1.82103E-05	5.7669E-05	1.96542E-05	3.40042E-05	2.411E-05
K00251	7.89693E-06	5.12748E-06	1.56594E-06	6.91643E-06	5.37333E-06	9.8848E-06	5.62727E-06
K00252	0.000133415	3.62484E-05	2.31999E-05	4.38504E-05	1.56387E-05	6.99584E-06	4.90628E-06
K00253	1.54478E-05	1.81515E-05	3.85604E-06	1.21183E-05	4.53782E-06	8.79682E-06	5.30405E-06
K00254	5.19596E-06	5.4147E-06	1.6414E-06	6.72283E-06	3.42362E-06	3.50411E-06	1.09497E-06
K00255	4.47755E-06	1.13544E-05	4.22382E-06	1.87904E-05	8.74106E-07	7.95158E-06	2.14547E-06
K00256	2.22341E-06	1.8998E-07	2.7073E-07	6.03987E-07	7.35911E-07	5.2507E-07	6.97293E-07
K00257	0.000482816	0.000574129	7.80368E-05	0.000219618	0.000209647	0.000552367	5.84335E-05
K00258	4.03618E-06	1.30135E-06	5.48688E-07	6.29367E-07	9.4367E-08	2.55975E-07	8.64659E-07
K00259	0.001009045	0.001393021	0.000345939	0.000299871	0.000211421	0.000509862	9.11519E-06
K00260	0.000376028	0.000639477	0.000129818	0.000199357	0.000230281	7.17505E-06	5.76411E-06
K00261	1.79594E-05	1.89873E-05	5.26038E-05	0.00013323	0.000140593	2.53813E-05	3.25627E-06
K00262	0.000767356	0.000652662	0.000723863	0.000840962	0.000815403	0.001398268	6.98553E-05
K00263	1.34223E-05	1.32119E-05	1.04151E-06	1.37991E-06	3.2225E-06	3.72947E-07	1.10328E-06
K00264	3.13835E-05	5.22103E-05	1.76768E-06	2.83838E-06	7.2909E-06	2.58009E-05	1.47361E-06
K00265	0.00032421	0.000591877	2.93239E-05	6.05945E-05	0.00010394	0.000458841	1.70866E-05
K00266	0.000444395	0.000778164	8.64036E-05	0.000186792	0.000353367	0.001337653	5.54617E-05
